from_stage,to_stage,pipeline_id,variable,r_delta_maps,rmse_delta_maps
S3_regrid,S4_dor,test8_v2,pr,0.8940190879589007,2.734129529302525
S3_regrid,S4_dor,test8_v3,pr,0.8786211928226957,2.8411334644793205
S3_regrid,S4_dor,test8_v4,pr,0.8782489487515768,2.8594974654735337
S3_regrid,S4_dor,test8_v2,tasmax,0.9717661308945336,0.015255465701015138
S3_regrid,S4_dor,test8_v3,tasmax,0.9717661308945336,0.015255465701015138
S3_regrid,S4_dor,test8_v4,tasmax,0.9717661308945336,0.015255465701015138
S3_regrid,S4_dor,test8_v2,tasmin,0.9792984652734854,0.013382362916420995
S3_regrid,S4_dor,test8_v3,tasmin,0.9792984652734854,0.013382362916420995
S3_regrid,S4_dor,test8_v4,tasmin,0.9792984652734854,0.013382362916420995
S3_regrid,S4_dor,test8_v2,rsds,0.995306985506979,0.10747319250408538
S3_regrid,S4_dor,test8_v3,rsds,0.995306985506979,0.10747319250408538
S3_regrid,S4_dor,test8_v4,rsds,0.995306985506979,0.10747319250408538
S3_regrid,S4_dor,test8_v2,wind,0.9775505031901707,0.010596339474046076
S3_regrid,S4_dor,test8_v3,wind,0.9775979167663267,0.01058144707721057
S3_regrid,S4_dor,test8_v4,wind,0.9775979167663267,0.01058144707721057
S3_regrid,S4_dor,test8_v2,huss,0.9932442404588381,5.163851205949351e-06
S3_regrid,S4_dor,test8_v3,huss,0.9932442404588381,5.163851205949351e-06
S3_regrid,S4_dor,test8_v4,huss,0.9932442404588381,5.163851205949351e-06
