month,bias_mean,bias_std,n_days
1,29.797930041223026,21.514470114469194,279
2,42.66631175852603,31.38969921935686,254
3,39.06508594911077,43.8206488220638,279
4,53.08737608252265,60.312702358546446,270
5,47.524788007855676,56.192287226441174,279
6,34.63646101576525,45.596656604242234,270
7,21.054833465932173,36.7037195991711,279
8,35.90485178133804,37.66602100391131,279
9,29.938514143843975,41.94841425199073,270
10,37.31080566031788,37.72709688716614,279
11,35.721173883927776,24.901509227201164,270
12,34.16909084191302,19.891255269680336,279
